-31,80;0,00
-30,70;1,00
-29,70;2,00
-28,80;3,00
-28,00;4,00
-27,20;5,00
-26,60;6,00
-25,90;7,00
-25,40;8,00
-24,80;9,00
-24,30;10,00
-23,90;11,00
-23,40;12,00
-23,00;13,00
-22,60;14,00
-22,20;15,00
-21,80;16,00
-21,50;17,00
-21,20;18,00
-20,80;19,00
-20,50;20,00
-20,20;21,00
-20,00;22,00
-19,70;23,00
-19,40;24,00
-19,20;25,00
-18,90;26,00
-18,70;27,00
-18,50;28,00
-18,20;29,00
-18,00;30,00
-17,80;31,00
-17,50;32,00
-17,30;33,00
-17,10;34,00
-17,00;35,00
-16,80;36,00
-16,60;37,00
-16,40;38,00
-16,20;39,00
-16,10;40,00
-15,90;41,00
-15,80;42,00
-15,60;43,00
-15,40;44,00
-15,30;45,00
-15,10;46,00
-15,00;47,00
-14,90;48,00
-14,70;49,00
-14,60;50,00
-14,40;51,00
-14,30;52,00
-14,20;53,00
-14,00;54,00
-13,90;55,00
-13,80;56,00
-13,70;57,00
-13,60;58,00
-13,40;59,00
-13,30;60,00
-13,20;61,00
-13,10;62,00
-13,00;63,00
-12,80;64,00
-12,70;65,00
-12,60;66,00
-12,50;67,00
-12,40;68,00
-12,30;69,00
-12,20;70,00
-12,10;71,00
-12,00;72,00
-11,90;73,00
-11,80;74,00
-11,70;75,00
-11,60;76,00
-11,50;77,00
-11,40;78,00
-11,30;79,00
-11,20;80,00
-11,20;81,00
-11,10;82,00
-11,00;83,00
-10,90;84,00
-10,80;85,00
-10,70;86,00
-10,60;87,00
-10,60;88,00
-10,50;89,00
-10,40;90,00
-10,30;91,00
-10,20;92,00
-10,20;93,00
-10,10;94,00
-10,00;95,00
-9,90;96,00
-9,80;97,00
-9,70;98,00
-9,67;99,00
-9,60;100,00
-9,52;101,00
-9,44;102,00
-9,37;103,00
-9,30;104,00
-9,22;105,00
-9,15;106,00
-9,10;107,00
-9,00;108,00
-8,93;109,00
-8,86;110,00
-8,79;111,00
-8,72;112,00
-8,65;113,00
-8,58;114,00
-8,51;115,00
-8,44;116,00
-8,37;117,00
-8,30;118,00
-8,24;119,00
-8,17;120,00
-8,10;121,00
-8,04;122,00
-7,97;123,00
-7,90;124,00
-7,84;125,00
-7,77;126,00
-7,71;127,00
-7,63;128,00
-7,57;129,00
-7,50;130,00
-7,44;131,00
-7,38;132,00
-7,31;133,00
-7,25;134,00
-7,19;135,00
-7,13;136,00
-7,06;137,00
-7,00;138,00
-6,94;139,00
-6,89;140,00
-6,82;141,00
-6,75;142,00
-6,69;143,00
-6,63;144,00
-6,57;145,00
-6,51;146,00
-6,45;147,00
-6,39;148,00
-6,33;149,00
-6,27;150,00
-6,21;151,00
-6,15;152,00
-6,09;153,00
-6,03;154,00
-5,97;155,00
-5,91;156,00
-5,85;157,00
-5,79;158,00
-5,73;159,00
-5,66;160,00
-5,60;161,00
-5,54;162,00
-5,48;163,00
-5,43;164,00
-5,37;165,00
-5,31;166,00
-5,25;167,00
-5,19;168,00
-5,13;169,00
-5,08;170,00
-5,02;171,00
-4,96;172,00
-4,90;173,00
-4,85;174,00
-4,79;175,00
-4,73;176,00
-4,67;177,00
-4,61;178,00
-4,56;179,00
-4,50;180,00
-4,44;181,00
-4,38;182,00
-4,33;183,00
-4,27;184,00
-4,21;185,00
-4,15;186,00
-4,10;187,00
-4,04;188,00
-4,00;189,00
-3,92;190,00
-3,87;191,00
-3,80;192,00
-3,74;193,00
-3,68;194,00
-3,62;195,00
-3,57;196,00
-3,51;197,00
-3,45;198,00
-3,39;199,00
-3,34;200,00
-3,28;201,00
-3,22;202,00
-3,16;203,00
-3,10;204,00
-3,05;205,00
-3,00;206,00
-2,93;207,00
-2,87;208,00
-2,81;209,00
-2,76;210,00
-2,70;211,00
-2,64;212,00
-2,58;213,00
-2,52;214,00
-2,46;215,00
-2,40;216,00
-2,35;217,00
-2,29;218,00
-2,23;219,00
-2,17;220,00
-2,11;221,00
-2,05;222,00
-2,00;223,00
-1,92;224,00
-1,86;225,00
-1,80;226,00
-1,74;227,00
-1,68;228,00
-1,62;229,00
-1,56;230,00
-1,50;231,00
-1,44;232,00
-1,38;233,00
-1,32;234,00
-1,26;235,00
-1,20;236,00
-1,13;237,00
-1,07;238,00
-1,01;239,00
-0,95;240,00
-0,86;241,00
-0,82;242,00
-0,76;243,00
-0,70;244,00
-0,64;245,00
-0,57;246,00
-0,51;247,00
-0,45;248,00
-0,38;249,00
-0,32;250,00
-0,26;251,00
-0,19;252,00
-0,13;253,00
-0,06;254,00
0,00;255,00
